"","meters.east","meters.north","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
"12602",1285000,398000,0.0276524,8.8e-06,0.008118,0.0406308,0.00439,0.0106892,0.030476,0.0572012,0.0152272,3.2e-06,0.0007716,0.139726,0.0171752,0.0795748,0.4763124,0.001634,7.6e-06,0.0001284,0.0207816,0.0319448,0.0251748,1.96e-05,0.0123524
"12603",1293000,398000,0.0247752,1.68e-05,0.0073964,0.043002,0.005724,0.0090136,0.0368064,0.0450772,0.0125284,1.64e-05,0.0009356,0.134122,0.0124148,0.0739164,0.508994,0.0024524,6.8e-06,0.0001016,0.0160936,0.0288916,0.0206144,7.6e-06,0.0170928
"12604",1301000,398000,0.0193556,3.68e-05,0.0084484,0.0365708,0.008958,0.0093296,0.0588276,0.041038,0.0108456,6.4e-06,0.0011364,0.1355144,0.0100244,0.0658992,0.5026404,0.002476,2e-07,1.2e-06,0.01494,0.0347844,0.0211964,3.28e-05,0.0179376
"12605",1309000,398000,0.014592,1.6e-06,0.007816,0.0275508,0.0111776,0.0090184,0.0650116,0.0417576,0.0082896,2e-06,0.0008376,0.1285152,0.0052756,0.0559384,0.5361296,0.001554,2e-06,5.2e-06,0.0088276,0.0317096,0.0221004,1e-05,0.0238776
"12606",1317000,398000,0.0103504,1.2e-06,0.00528,0.013668,0.006856,0.0096468,0.0479144,0.0462984,0.005832,1.64e-05,0.0006132,0.0911132,0.0029552,0.0380424,0.6367512,0.0005628,1.88e-05,1.4e-05,0.0034904,0.0340432,0.020856,4.4e-06,0.0256716
"12607",1325000,398000,0.01055,2.4e-06,0.0087752,0.0173772,0.0126512,0.0099092,0.09769,0.0307416,0.003076,1.04e-05,0.0005548,0.0578912,0.006986,0.0624808,0.5241936,0.0003652,1.6e-06,6.8e-06,0.0051544,0.0461056,0.0266664,6.8e-06,0.0788036
"12608",1333000,398000,0.0132916,3.2e-06,0.011592,0.0179176,0.023156,0.0100372,0.1593576,0.024262,0.0031076,6.4e-06,0.0009504,0.0621004,0.0159336,0.0998276,0.3949388,0.0013292,6.8e-06,1.4e-05,0.014648,0.0608888,0.0131676,1.36e-05,0.07345
"12609",1341000,398000,0.0122744,4e-06,0.0084468,0.019694,0.0189828,0.0086972,0.2460412,0.0196392,0.0038084,1.64e-05,0.001298,0.0603072,0.0122216,0.11863,0.3314748,0.0022376,2e-07,1.2e-05,0.0252456,0.0800096,0.003926,2.6e-05,0.0270072
"12610",1349000,398000,0.0092748,4e-07,0.0041168,0.0121372,0.0128288,0.0070776,0.240428,0.0163416,0.0039296,3.6e-06,0.0018668,0.0406268,0.0154156,0.0930676,0.4843676,0.0029232,4e-07,4.8e-06,0.0078836,0.0379452,0.0040796,1.44e-05,0.005666
"12611",1357000,398000,0.0099332,3.6e-06,0.0033868,0.0028288,0.0116984,0.012682,0.1363956,0.02146,0.0026632,1.04e-05,0.0062928,0.0541524,0.0199744,0.0854344,0.5642484,0.0199592,2e-07,1.6e-06,0.0024044,0.0407544,0.0034976,5.2e-06,0.0022132
"12612",1365000,398000,0.0130648,2.4e-06,0.0094948,0.0040248,0.0131552,0.0387436,0.0998908,0.008116,0.003138,8e-06,0.0035308,0.043914,0.0210336,0.1046836,0.4388,0.1305804,2e-07,1.2e-06,0.0032264,0.0589688,0.0039104,9.2e-06,0.0017032
"12613",1373000,398000,0.0236768,8.8e-06,0.0142784,0.0177752,0.0409232,0.0690148,0.07521,0.0058748,0.0034956,2.76e-05,0.0185452,0.021728,0.0232984,0.1890544,0.3605292,0.069916,2e-06,2e-06,0.0041636,0.0567188,0.0024464,1.56e-05,0.0032952
"12614",1381000,398000,0.0165692,3.2e-06,0.0110612,0.0313528,0.0171632,0.01573,0.1760112,0.0112988,0.0015408,5.6e-06,0.0284584,0.0319412,0.0092744,0.1196152,0.460738,0.021328,1.52e-05,1.12e-05,0.002808,0.0392604,0.0026288,9.6e-06,0.0031756
"12615",1389000,398000,0.008278,4e-06,0.0094372,0.0221708,0.0150332,0.0067088,0.1840572,0.0207412,0.001272,2e-06,0.0225828,0.049946,0.0102472,0.0920252,0.464574,0.0459576,1.2e-06,4e-06,0.001916,0.0325388,0.0072096,6e-06,0.0052872
